trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
257,False,"{'a': 0.4, 'e': 0.07720578774481257}",25,17,15.011003716898312,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
258,False,"{'a': 0.4, 'e': 0.0764371948793122}",30,1,47.87024472306707,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 0}",1
259,False,"{'a': 0.4, 'e': 0.07567625344785783}",20,10,18.827420066660547,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
260,False,"{'a': 0.4, 'e': 0.07492288727950695}",25,3,20.791213024497168,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
261,False,"{'a': 0.4, 'e': 0.07417702096160793}",25,6,28.27990106598873,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 0}",1
262,False,"{'a': 0.4, 'e': 0.0734385798322511}",30,17,22.155979470929275,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
263,False,"{'a': 0.4, 'e': 0.07270748997279507}",25,0,-4.157478595209811,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
264,False,"{'a': 0.4, 'e': 0.07198367820046736}",20,9,19.374857626093743,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
265,False,"{'a': 0.4, 'e': 0.07126707206103877}",35,21,16.213171885772198,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
266,False,"{'a': 0.4, 'e': 0.07055759982157063}",30,10,-8.181077510836174,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",1
267,False,"{'a': 0.4, 'e': 0.06985519046323424}",25,13,17.36840437839189,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
268,False,"{'a': 0.4, 'e': 0.0691597736742019}",20,13,-11.152261360857352,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1
269,False,"{'a': 0.4, 'e': 0.0684712798426085}",20,8,20.258820437038906,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
270,False,"{'a': 0.4, 'e': 0.06778964004958349}",35,25,17.196038111419114,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
271,False,"{'a': 0.4, 'e': 0.06711478606235183}",20,9,17.07545363665573,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
272,False,"{'a': 0.4, 'e': 0.066446650327404}",25,14,20.097218582006256,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
273,False,"{'a': 0.4, 'e': 0.06578516596373372}",20,8,-4.122877622097142,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
274,False,"{'a': 0.4, 'e': 0.06513026675614315}",20,3,29.04645093575459,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
275,False,"{'a': 0.4, 'e': 0.06448188714861469}",20,10,-24.00022867852985,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
276,False,"{'a': 0.4, 'e': 0.06383996223774874}",35,11,31.315480454130793,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
277,False,"{'a': 0.4, 'e': 0.0632044277662668}",20,8,1.1216686521017039,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
278,False,"{'a': 0.4, 'e': 0.06257522011657929}",25,15,19.826348271569806,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
279,False,"{'a': 0.4, 'e': 0.061952276304417374}",30,16,-57.2263761733227,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 2}",1
280,False,"{'a': 0.4, 'e': 0.06133553397252812}",25,15,-2.080046327993755,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
281,False,"{'a': 0.4, 'e': 0.060724931384432544}",25,0,-68.16414315045576,"{0: 22, 1: 0, 2: 0, 3: 1, 4: 2}",0
282,False,"{'a': 0.4, 'e': 0.060120407418245696}",35,17,31.3690330210585,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
283,False,"{'a': 0.4, 'e': 0.05952190156055832}",25,19,10.579020242886939,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
284,False,"{'a': 0.4, 'e': 0.058929353900379386}",25,16,20.19303342677353,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
285,False,"{'a': 0.4, 'e': 0.058342705123138966}",20,15,9.793604205555647,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
286,False,"{'a': 0.4, 'e': 0.057761896504750776}",20,11,15.852775329824167,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
287,False,"{'a': 0.4, 'e': 0.05718686990573386}",20,12,-7.364944344504565,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
288,False,"{'a': 0.4, 'e': 0.05661756776539273}",20,16,7.55898385224827,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
289,False,"{'a': 0.4, 'e': 0.056053933096055546}",20,5,-20.43608578759586,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 1}",1
290,False,"{'a': 0.4, 'e': 0.05549590947736956}",30,21,13.398310461809018,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
291,False,"{'a': 0.4, 'e': 0.05494344105065337}",20,10,6.591097319872588,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
292,False,"{'a': 0.4, 'e': 0.05439647251330548}",25,3,27.62361137024616,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 0}",1
293,False,"{'a': 0.4, 'e': 0.05385494911326839}",30,13,-7.831969791639594,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
294,False,"{'a': 0.4, 'e': 0.05331881664354788}",20,13,14.141169359417201,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
295,False,"{'a': 0.4, 'e': 0.05278802143678689}",20,14,9.817573505713042,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
296,False,"{'a': 0.4, 'e': 0.0522625103598933}",20,0,26.236539082291443,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
297,False,"{'a': 0.4, 'e': 0.051742230808721285}",25,13,21.93438232861627,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
298,False,"{'a': 0.4, 'e': 0.05122713070280561}",25,0,26.544553126209813,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
299,False,"{'a': 0.4, 'e': 0.050717158480148294}",35,17,31.370085751622067,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
300,False,"{'a': 0.4, 'e': 0.05021226309205723}",25,12,12.230128812332847,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
301,False,"{'a': 0.4, 'e': 0.04971239399803616}",30,22,2.661708357997423,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,7,22.048806336209783,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,16,8.805418771627949,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",30,12,34.01404505692241,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,7,20.432828808739156,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",30,22,15.621343563520188,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,12,14.415567006257934,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,13,15.108808281112374,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,7,23.137147937000545,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,0,29.786784591829846,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",20,14,9.41752325563818,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
